"Bronte_Jane" "Bronte_Shirley" "Bronte_Vilette" "Dickens_Expectations" "Dickens_Oliver" "Dickens_Tale" "Fitzgerald_Damned" "Fitzgerald_Gatsby" "Fitzgerald_Tender" "Lawrence_Rainbow" "Lawrence_Sons" "Lawrence_Women" "Stein_Americans" "Stein_Buttons" "Stein_Lives" "Twain_Huckleberry" "Twain_Prince" "Twain_Sawyer" "Wharton_House" "Wharton_Innocence" "Wharton_Valley" "Woolf_Dalloway" "Woolf_Lighthouse" "Woolf_Years"
"were" 0.332186879152336 0.348001536389762 0.373812580231065 0.427997736032127 0.350779439512708 0.481515206701876 0.427953197627825 0.348361893638872 0.426587574034914 0.462243050378102 0.442900511647432 0.459705311547928 0.427401277405883 0.113643960157765 0.274068052491 0.00718294051627385 0.3942763478492 0.375893262836135 0.322382560638625 0.388650616835638 0.371210692948297 0.428781571781791 0.422110552763819 0.69262113078775
"so" 0.335925316699066 0.300799200336895 0.359435173299101 0.427997736032127 0.371674243671407 0.430522673465671 0.321365603462093 0.279897706449729 0.334129752194729 0.434551070401534 0.439250232705283 0.456994784946819 0.268493213781244 0.83561735410121 0.895366391824411 0.862850729517396 0.462204108152808 0.49017582992551 0.300890389929383 0.326819836884514 0.226887096040203 0.4945072141717 0.508255563531945 0.219706590418611
"some" 0.198137189976715 0.186032736208357 0.230551989730424 0.175187990189473 0.246938594602809 0.166818430158441 0.226799166533098 0.207406214131814 0.176676827872829 0.151773351794653 0.153311715570265 0.17130528119003 1.4201928391574 0.133698776656194 0.126582278481013 0.182267115600449 0.135855520607215 0.158343315846724 0.118974516426159 0.0991255361121198 0.165126998264216 0.258207880817502 0.321608040201005 0.152703871354779
"my" 1.19042532738032 0.522927840585679 0.980744544287548 1.11581273751449 0.323552876518039 0.47787288289929 0.177111716621253 0.491331225710316 0.200477851316837 0.109170305676856 0.213541318115726 0.111673695965652 0.052009764785359 0.00668493883280968 0.0696783184299152 0.374410774410774 0.481401083890784 0.141820535062718 0.181148295977894 0.211991245546712 0.27174443021434 0.0672905386372883 0.0287150035893754 0.146471060279074
"being" 0.0667578133344727 0.0883886880989953 0.10012836970475 0.142845592000647 0.124735649068598 0.0976142779093061 0.072928353902869 0.0302047884657981 0.0567562866741731 0.0974544679944616 0.0413698280110238 0.0970368523196687 1.84433151139225 0.113643960157765 0.0905818139588898 0.0475869809203143 0.0812179742760525 0.050945240750685 0.0844335277863064 0.073608071370386 0.0708615858692896 0.150230039748365 0.0933237616654702 0.038955069223158
"from" 0.384525004806563 0.33226742437214 0.325545571245186 0.312104142522168 0.398900806666076 0.374430886905846 0.36945023240904 0.467167394937677 0.444896053607228 0.344019597401214 0.304798291669455 0.280810555874795 0.331250383835902 0.0467945718296678 0.234583672047381 0.14635241301908 0.358835777256014 0.242334118165421 0.452103162419404 0.348411537819827 0.484329187822209 0.245688710838471 0.314429289303661 0.234509516723411
"what" 0.385593129819914 0.356794128399609 0.323491655969191 0.341751340861925 0.305190775893728 0.279730468038609 0.262061227760859 0.293993274400435 0.290189401221176 0.324848226648205 0.324266446027584 0.391942146520226 0.199018915433274 0.327562002807674 0.530716525374521 0.378900112233446 0.214120114000502 0.340093904470789 0.288609149524102 0.319949750223278 0.163826785679459 0.355231448154987 0.45656855707107 0.370852259004464
"when" 0.306017816325223 0.3211609923597 0.245956354300385 0.475433253375738 0.312788886496891 0.319796029867055 0.263664048725757 0.293993274400435 0.264557529819936 0.282245180530408 0.325483205674967 0.172389491830473 0.411280169501935 0.42115114646701 0.546974799674835 0.386083052749719 0.22888701841433 0.289148663720104 0.236413877801658 0.249286001707707 0.183980080743202 0.23473443710682 0.255563531945442 0.190100737809011
"are" 0.323107816538848 0.442406208495495 0.204878048780488 0.147696951728971 0.203882634518216 0.229466399562921 0.114601698990223 0.0926280179617809 0.158368348300515 0.0862711683885398 0.133843561212136 0.270510554790585 0.99586224897132 0.581589678454442 0.155614911160144 0.0538720538720539 0.121088616193387 0.067468021534691 0.141234264660731 0.0991255361121198 0.177479017819413 0.106412944821758 0.100502512562814 0.092713064751116
"would" 0.353549379419367 0.427597632478909 0.382541720154044 0.32234590194863 0.261501639925539 0.249863412857403 0.323769834909441 0.106723585912487 0.221532602824998 0.367451272766003 0.31453236884852 0.284605293116347 0.219362218264448 0.0668493883280968 0.529555220067356 0.363636363636364 0.268757660331665 0.331832514078786 0.287841571998772 0.261063293126969 0.170977954895625 0.427216675534412 0.644651830581479 0.124656221514106
"by" 0.339663754245797 0.317458848355554 0.343517329910141 0.435544295609519 0.488178606253245 0.410125660171189 0.353422022760058 0.245665612855158 0.293851097135638 0.224731068271381 0.129584902446295 0.183773703555127 0.158332309770927 0.187178287318671 0.178841017303449 0.354657687991021 0.410519942704411 0.344224599666791 0.418329751304882 0.316023986416857 0.518134715025907 0.267597258301775 0.285714285714286 0.170623203197432
"no" 0.40642156758027 0.399368784447293 0.349679075738126 0.346602700590249 0.371674243671407 0.394827900200328 0.247635839076775 0.207406214131814 0.248995322183469 0.233251677494941 0.252477626831984 0.318215822970087 0.132423386353866 1.67791964703523 0.394843804436186 0.526150392817059 0.301244850042086 0.3690087708428 0.254835738409579 0.291487962626729 0.25549177290487 0.272291947043911 0.203876525484566 0.188542535040085
"very" 0.200807502510094 0.183256128205247 0.199743260590501 0.214537907985877 0.309623007078906 0.158076853032235 0.129027087674307 0.120819153863192 0.137313596792354 0.234316753647886 0.214758077763109 0.185400019515792 0.788207025732359 0.287452369810816 0.782719777029381 0.0897867564534231 0.0856480456002008 0.107398075096039 0.0836659502609764 0.0853853627896478 0.0546089285598195 0.270727050796532 0.16367552045944 0.201787258575959
"if" 0.285723441071543 0.337357872377841 0.201283697047497 0.420990216424548 0.382438233692555 0.335822254598434 0.194742747235134 0.289965969271662 0.254487866055163 0.304079241665779 0.375370351217672 0.367005301790032 0.0679389547380704 0.42115114646701 0.239228893276042 0.364534231200898 0.156529186786574 0.326324920484117 0.309333742708014 0.378836207319587 0.152774978709019 0.259772777064881 0.422110552763819 0.310861452400801
"living" 0.0192262502403281 0.0166596480186588 0.0210526315789474 0.0129369592755303 0.0107639900211481 0.0152977599708614 0.0248437249559224 0.00604095769315962 0.011900511722004 0.0452657365001598 0.021901673652895 0.0401157936963993 1.66661548854634 0.00668493883280968 0.0452909069794449 0.00538720538720539 0.0118135235310622 0.00550759359466865 0.0184218606079214 0.0206102599837081 0.0182029761866065 0.0172138587211668 0.0100502512562814 0.0148029263048
"out" 0.214693127683664 0.162431568181923 0.190500641848524 0.422607336333989 0.252004001671584 0.324895283190676 0.30613880429556 0.42488069108556 0.274627193584709 0.277984875918628 0.279246339074411 0.254789500504158 0.144130381379353 0.100274082492145 0.214841481825572 0.72996632996633 0.285001255186875 0.37864705963347 0.240251765428308 0.261063293126969 0.193731675128884 0.316109041970517 0.323043790380474 0.432401268377054
"an" 0.311358441391981 0.3211609923597 0.31578947368421 0.239872786567124 0.244405891068421 0.252048807138955 0.415932040391088 0.37856668210467 0.379900951125514 0.226861220577271 0.230575953179089 0.221178970650418 0.211493582263711 0.641754127949729 0.063871791894089 0.129292929292929 0.330778658869741 0.246464813361422 0.355388394227817 0.304246694997595 0.379662074749221 0.27385684329129 0.193826274228284 0.190100737809011
"or" 0.339129691739121 0.350778144392872 0.427214377406932 0.305096622914589 0.315954765914876 0.265161172828264 0.242025965699631 0.203378909003041 0.212378363038841 0.20076685483012 0.170346350633628 0.184315808875348 0.302078855247804 0.0467945718296678 0.120775751945186 0.28641975308642 0.258420827241985 0.199650267806739 0.167331900521953 0.20021395412745 0.229487521209718 0.283246220775563 0.312993539124192 0.13556364089659
"up" 0.206148127576852 0.164745408184515 0.155070603337612 0.329892461526022 0.309623007078906 0.223638681478783 0.282897900304536 0.384607639797829 0.395463158761981 0.260943657471509 0.352251917917394 0.272678976071471 0.0915448627402813 0.0869042048265258 0.145163163395657 0.744332210998878 0.205259971352205 0.404808129208146 0.238716610377648 0.274803466449441 0.130021258475761 0.370880410628775 0.387652548456569 0.528230738666023
"now" 0.356219691952746 0.26146392029284 0.255712451861361 0.244185106325634 0.177289247407145 0.190857767255509 0.167494790831864 0.201365256438654 0.205054971209916 0.164554265629993 0.200765341818204 0.156668437544046 0.33758367622674 0.020054816498429 0.970851236790152 0.237037037037037 0.259897517683368 0.395169840417476 0.186521338655204 0.0932368904024889 0.154075191293777 0.306719664486245 0.348887293610912 0.232172212570022
"their" 0.183183439789793 0.249894720279882 0.169961489088575 0.0943319947174083 0.18868641331189 0.231651793844473 0.18913287385799 0.112764543605646 0.219701754867767 0.184258174459474 0.149661436628116 0.178352650352911 0.460986918872444 0 0.167227964231797 0.138271604938272 0.25546744635922 0.262987594145428 0.224132637396377 0.305228135949201 0.399165263520586 0.266032362054396 0.251256281407035 0.25398705133499
"could" 0.269167503364594 0.223979712250857 0.277278562259307 0.260356305420047 0.167791609153191 0.205427062465853 0.151466581182882 0.122832806427579 0.205054971209916 0.3365640643306 0.282288238192869 0.258584237745709 0.197483571823374 0.0869042048265258 0.522587388224364 0.272951739618406 0.150622425021043 0.247841711760089 0.250997850782929 0.156049111305218 0.152774978709019 0.3912240618447 0.424982053122757 0.185426129502232
"which" 0.316699066458738 0.305889648342596 0.346084724005135 0.295393903457941 0.555295249914521 0.306683664177745 0.193941336752685 0.130887416685125 0.127243933027582 0.20076685483012 0.149661436628116 0.147452647100279 0.0598784007860959 0.467945718296678 0.0243874114504703 0.103254769921437 0.220026875766033 0.0950059895080342 0.442124654590114 0.290506521675123 0.421268877461465 0.420957090544897 0.437903804737976 0.1628321893528
"been" 0.208284377603555 0.203155152227534 0.18382541720154 0.328275341616581 0.292527258221789 0.320524494627572 0.302131751883315 0.21546082438936 0.205970395188532 0.102779848759186 0.163045792749329 0.093784220398339 0.289988024319843 0.0668493883280968 0.263616304726513 0.121212121212121 0.159482567669339 0.205157861401407 0.331593490942585 0.370984679706745 0.225586883455445 0.253513192075365 0.238334529791816 0.229055807032169
"about" 0.11642562645532 0.13605379215238 0.133504492939666 0.172492790340404 0.139931870274925 0.117282826443271 0.260458406795961 0.304061537222368 0.319482968536878 0.149643199488763 0.190422884815448 0.127394750252079 0.465784867653381 0.020054816498429 0.328649401927767 0.378002244668911 0.200829900028057 0.227188235780082 0.151980350015352 0.199232513175845 0.116369026335806 0.261337673312259 0.340272792534099 0.249312443028211
"who" 0.149003439362543 0.178628448200064 0.126829268292683 0.178422230008355 0.324186052401636 0.27681660899654 0.233210450392691 0.229556392340066 0.218786330889151 0.147513047182874 0.112550267382933 0.139321067296954 0.421451820917521 0.0133698776656194 0.25200325165486 0.0529741863075196 0.206736661793588 0.11152877029204 0.212618974516426 0.277747789304257 0.34260601608363 0.298895183249351 0.15218951902369 0.195554447500253
"like" 0.193330627416633 0.213336048238936 0.197175866495507 0.169797590491335 0.105107196677093 0.152249134948097 0.21638083026126 0.243651960290771 0.274627193584709 0.344019597401214 0.304189911845764 0.445610573222166 0.157564637965977 0.0869042048265258 0.421553826500987 0.237934904601571 0.097461569131263 0.167981604637394 0.138931532084741 0.225731418869184 0.144973703200473 0.367750618134018 0.343144292893037 0.248533341643748
"little" 0.182649377283117 0.173538000194363 0.264955070603338 0.199983828800906 0.17412336798916 0.194500091058095 0.17150184324411 0.207406214131814 0.162030044214978 0.239109596336138 0.193464783933906 0.191363178038229 0.315896947736904 0.594959556120061 0.307745906398792 0.18047138047138 0.214120114000502 0.196896471009404 0.139699109610071 0.158011993208429 0.0975159438568206 0.20813120090138 0.235463029432879 0.339688203625938
"do" 0.248873128110914 0.259150080290248 0.198202824133504 0.246341266204889 0.243139539301227 0.220724822436715 0.198749799647379 0.171160467972856 0.215124634974689 0.158163808712323 0.249435727713526 0.331768455975627 0.182322053675613 0.0935891436593355 0.612007896876089 0.351964085297419 0.174249472083167 0.251972406956091 0.171169788148603 0.157030552256823 0.0825634991321081 0.100153359832243 0.101938262742283 0.114527903516085
"more" 0.193330627416633 0.201766848225979 0.194608472400513 0.21777214780476 0.224144262793319 0.191586232016026 0.168296201314313 0.149010289764604 0.161114620236362 0.17041218447119 0.138710599801668 0.165884227987813 0.3665632868636 1.06959021324955 0.36697247706422 0.181369248035915 0.181632924290081 0.195519572610737 0.197267424009825 0.150160465595587 0.194381781421262 0.176833275953804 0.146446518305815 0.0942712675200424
"any" 0.111085001388563 0.100420656112471 0.0944801026957638 0.145001751879902 0.146896804994491 0.163176106355855 0.146658118288187 0.136928374378285 0.140975292706817 0.0793481733943977 0.0851731753168138 0.126852644931857 0.650985690597556 0.6216993114513 0.426199047729648 0.143658810325477 0.0900781169243492 0.163850909441392 0.139699109610071 0.123661559902248 0.105317219365366 0.0907639823479703 0.0789662598707825 0.0490833872211791
